title,artist,genre,year,norm_title,norm_artist,genre_clean,file_path
Uma Thurman,Fall Out Boy,rock,2015,uma thurman,fall out boy,Rock,
Hot Boy,Bobby Shmurda,Hip-Hop,2015,hot boy,bobby shmurda,Hip Hop,
I Want You To Know,Zedd,edm,2015,i want you to know,zedd,EDM,
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,Hip-Hop,2015,all eyes on you,meek mill,Hip Hop,
Slow Motion,Trey Songz,rnb,2015,slow motion,trey songz,R&B,
She Knows,Ne-Yo,rnb,2015,she knows,ne yo,R&B,
Ghost,Ella Henderson,soul,2015,ghost,ella henderson,Soul,
Here,Alessia Cara,soul,2015,here,alessia cara,Soul,
Riptide,Vance Joy,pop,2015,riptide,vance joy,Pop,
Blame (feat. John Newman),Calvin Harris,edm,2015,blame,calvin harris,EDM,
Blessings,Big Sean,Hip-Hop,2015,blessings,big sean,Hip Hop,
Focus,Ariana Grande,pop,2015,focus,ariana grande,Pop,
Chandelier,Sia,pop,2015,chandelier,sia,Pop,
Let Me Love You (feat. Justin Bieber),DJ Snake,edm,2016,let me love you,dj snake,EDM,
NO,Meghan Trainor,pop,2016,no,meghan trainor,Pop,
Up&Up,Coldplay,rock,2016,up up,coldplay,Rock,
Unforgettable (feat. Swae Lee),French Montana,Hip-Hop,2017,unforgettable,french montana,Hip Hop,
Bad Things,mgk,pop,2017,bad things,mgk,Pop,
Let Me Love You (feat. Justin Bieber),DJ Snake,edm,2017,let me love you,dj snake,EDM,
Swang,Rae Sremmurd,Hip-Hop,2017,swang,rae sremmurd,Hip Hop,
Down,Marian Hill,rnb,2017,down,marian hill,R&B,
X (feat. Future),21 Savage,Hip-Hop,2017,x,21 savage,Hip Hop,
Psycho (feat. Ty Dolla $ign),Post Malone,pop,2018,psycho,post malone,Pop,
Mine,Bazzi,rnb,2018,mine,bazzi,R&B,
Fuck Love,XXXTENTACION,rnb,2018,fuck love,xxxtentacion,R&B,
Silence (feat. Khalid),Marshmello,edm,2018,silence,marshmello,EDM,
