rank,title,artist,genre
1,Closer (feat. Halsey),The Chainsmokers,edm
2,Faded,Alan Walker,edm
3,We Don’t Talk Anymore (feat. Selena Gomez),Charlie Puth,pop
4,Don't Let Me Down (feat. Daya),The Chainsmokers,edm
5,One Call Away,Charlie Puth,pop
6,Roses (feat. ROZES),The Chainsmokers,edm
7,Love Yourself,Justin Bieber,pop
8,Secret Love Song (feat. Jason Derulo),Little Mix,pop
9,This Is What You Came For,Calvin Harris,edm
10,Hymn for the Weekend,Coldplay,pop
11,Photograph,Ed Sheeran,pop
12,Cold Water (feat. Justin Bieber & MØ),Major Lazer,pop
13,Middle (feat. Bipolar Sunshine),DJ Snake,edm
14,Hello,Adele,pop
15,Dessert,Dawin,Hip-Hop
16,Let Me Love You (feat. Justin Bieber),DJ Snake,edm
17,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,soul
18,Adventure of a Lifetime,Coldplay,pop
19,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,pop
20,CAN'T STOP THE FEELING! (Original Song From DreamWorks Animation's TROLLS),Justin Timberlake,pop
21,7 Years,Lukas Graham,pop
22,Sorry,Justin Bieber,pop
23,One Dance (feat. Wizkid & Kyla),Drake,rnb
24,Treat You Better,Shawn Mendes,pop
25,Locked Away (feat. Adam Levine),R. City,rnb
26,Marvin Gaye (feat. Meghan Trainor),Charlie Puth,pop
27,Perfect,One Direction,pop
28,Kali Kedua,Raisa,pop
29,Lean On (feat. DJ Snake & MØ),Major Lazer,edm
30,How Deep Is Your Love,Calvin Harris,edm
31,Thinking Out Loud,Ed Sheeran,pop
32,Hands To Myself,Selena Gomez,pop
33,Stressed Out,twenty one pilots,Hip-Hop
34,Kesempurnaan Cinta,Rizky Febian,pop
35,When We Were Young,Adele,pop
36,PILLOWTALK,ZAYN,rnb
37,Flashlight,Jessie J,pop
38,Starving (feat. Zedd),Hailee Steinfeld,edm
39,Lush Life,Zara Larsson,pop
40,Cheap Thrills,Sia,pop
41,i hate u. i love u (feat. Olivia O’Brien),gnash,pop
42,In the Name of Love,Martin Garrix,edm
43,Blank Space,Taylor Swift,pop
44,How to Love (feat. Sofia Reyes),Cash Cash,edm
45,NO,Meghan Trainor,pop
46,Where Are Ü Now (feat. Justin Bieber),Jack Ü,edm
47,Never Forget You,Zara Larsson,electronic
48,Sing Me to Sleep,Alan Walker,edm
49,Love Yourself,Justin Bieber,pop
50,Perfect Strangers (feat. JP Cooper),Jonas Blue,edm
51,Wildest Dreams,Taylor Swift,pop
52,Till It Hurts (feat. Ayden),Yellow Claw,edm
53,History,One Direction,pop
54,All We Know (feat. Phoebe Ryan),The Chainsmokers,edm
55,A Sky Full of Stars,Coldplay,pop
56,Everglow,Coldplay,rock
57,Heathens,twenty one pilots,Hip-Hop
58,All I Ask,Adele,pop
59,Worth It (feat. Kid Ink),Fifth Harmony,rnb
60,Better When I'm Dancin',Meghan Trainor,pop
61,Style,Taylor Swift,pop
62,Say You Won't Let Go,James Arthur,pop
63,Fast Car (feat. Dakota) [Radio Edit],Jonas Blue,edm
64,The Ocean (feat. Shy Martin),Mike Perry,edm
65,No Money,Galantis,edm
66,Inside Out (feat. Charlee),The Chainsmokers,edm
67,Let It Go,James Bay,folk
68,Love Me Like You Do,Ellie Goulding,pop
69,Cheerleader (Felix Jaehn Remix) [Radio Edit],Omi,edm
70,Into You,Ariana Grande,pop
71,Kau Adalah (feat. Rayi Putra),Isyana Sarasvati,pop
72,Fight Song,Rachel Platten,pop
73,I Took a Pill in Ibiza (Seeb Remix),Mike Posner,Hip-Hop
74,Stand By You,Rachel Platten,pop
75,Sorry,Justin Bieber,pop
76,One Last Time,Ariana Grande,pop
77,See You Again (feat. Charlie Puth),Wiz Khalifa,pop
78,What Do You Mean?,Justin Bieber,pop
79,Pamit,Tulus,pop
80,Kill Em With Kindness,Selena Gomez,edm
81,Writing's On the Wall,Sam Smith,soul
82,Up&Up,Coldplay,rock
83,Toothbrush,DNCE,pop
84,Stitches,Shawn Mendes,pop
85,Same Old Love,Selena Gomez,pop
86,Percayalah,Afgan,pop
87,Work (feat. Drake),Rihanna,rnb
88,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,rock
89,Lost Stars,Adam Levine,indie
90,YOUTH,Troye Sivan,pop
91,Stay (feat. Maty Noyes),Kygo,edm
92,Side To Side (feat. Nicki Minaj),Ariana Grande,pop
93,Tetap Dalam Jiwa,Isyana Sarasvati,pop
94,The Greatest (feat. Kendrick Lamar),Sia,pop
95,Beautiful Now (feat. Jon Bellion),Zedd,edm
96,Hotline Bling,Drake,rnb
97,Aku Cuma Punya Hati,Mytha Lestari,pop
98,Ride,twenty one pilots,Hip-Hop
99,Dia,Anji,pop
100,My Way,Calvin Harris,edm
