rank,title,artist,genre
1,Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X,country
2,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,Hip-Hop
3,thank u. next,Ariana Grande,pop
4,7 rings,Ariana Grande,pop
5,bad guy,Billie Eilish,pop
6,Wow.,Post Malone,pop
7,Going Bad (feat. Drake),Meek Mill,Hip-Hop
8,Without Me,Halsey,rnb
9,Drip Too Hard,Lil Baby,Hip-Hop
10,SICKO MODE,Travis Scott,Hip-Hop
11,Shallow,Lady Gaga,rock
12,MIDDLE CHILD,J. Cole,Hip-Hop
13,Señorita,Shawn Mendes,pop
14,No Guidance (feat. Drake),Chris Brown,rnb
15,Better,Khalid,rnb
16,I Don't Care,Ed Sheeran,pop
17,Talk (feat. Disclosure),Khalid,soul
18,Swervin (feat. 6ix9ine),A Boogie wit da Hoodie,Hip-Hop
19,Happier,Marshmello,edm
20,Someone You Loved,Lewis Capaldi,pop
21,Suge,DaBaby,Hip-Hop
22,Truth Hurts,Lizzo,Hip-Hop
23,when the party's over,Billie Eilish,pop
24,ZEZE (feat. Travis Scott & Offset),Kodak Black,Hip-Hop
25,break up with your girlfriend. i'm bored,Ariana Grande,pop
26,Eastside,benny blanco,pop
27,Money In The Grave (feat. Rick Ross),Drake,Hip-Hop
28,Murder on My Mind,YNW Melly,Hip-Hop
29,Money,Cardi B,Hip-Hop
30,Sweet but Psycho,Ava Max,pop
31,Sucker,Jonas Brothers,rock
32,a lot,21 Savage,Hip-Hop
33,Dancing With A Stranger,Sam Smith,pop
34,Look Back at It,A Boogie wit da Hoodie,Hip-Hop
35,MÍA (feat. Drake),Bad Bunny,pop
36,Thotiana,Blueface,Hip-Hop
37,Goodbyes (feat. Young Thug),Post Malone,pop
38,Mo Bamba,Sheck Wes,Hip-Hop
39,The London (feat. J. Cole & Travis Scott),Young Thug,Hip-Hop
40,Envy Me,Calboy,pop
41,bury a friend,Billie Eilish,pop
42,Pop Out (feat. Lil Tjay),Polo G,pop
43,I Like It,Cardi B,Hip-Hop
44,Ransom,Lil Tecca,Hip-Hop
45,Better Now,Post Malone,Hip-Hop
46,Nonstop,Drake,Hip-Hop
47,Pure Cocaine,Lil Baby,Hip-Hop
48,Taki Taki (feat. Selena Gomez. Ozuna & Cardi B),DJ Snake,pop
49,Girls Need Love,Summer Walker,rnb
50,Act Up,City Girls,Hip-Hop
51,Lucid Dreams,Juice WRLD,pop 
52,Pure Water,Mustard,Hip-Hop
53,Yes Indeed,Lil Baby,Hip-Hop
54,High Hopes,Panic! At the Disco,pop
55,lovely,Billie Eilish,pop
56,In My Feelings,Drake,pop
57,Con Calma (feat. Snow),Daddy Yankee,Hip-Hop
58,Close Friends,Lil Baby,pop
59,Wake Up in the Sky,Gucci Mane,Hip-Hop
60,Taste (feat. Offset),Tyga,Hip-Hop
61,Be Alright,Dean Lewis,pop
62,rockstar (feat. 21 Savage),Post Malone,Hip-Hop
63,Please Me,Cardi B,Hip-Hop
64,Sanguine Paradise,Lil Uzi Vert,pop
65,Girls Like You (feat. Cardi B),Maroon 5,pop
66,ocean eyes,Billie Eilish,pop
67,Moonlight,XXXTENTACION,pop
68,Beautiful People (feat. Khalid),Ed Sheeran,pop
69,Mixed Personalities (feat. Kanye West),YNW Melly,Hip-Hop
70,Shape of You,Ed Sheeran,pop
71,God's Plan,Drake,pop
72,Worth It,YK Osiris,soul
73,10 Freaky Girls (feat. 21 Savage),Metro Boomin,Hip-Hop
74,Calling My Spirit,Kodak Black,Hip-Hop
75,Nights Like This (feat. Ty Dolla $ign),Kehlani,rnb
76,Leave Me Alone,Flipp Dinero,rock
77,SAD!,XXXTENTACION,pop
78,Nice For What,Drake,Hip-Hop
79,Panini,Lil Nas X,Hip-Hop
80,Speechless,Dan + Shay,country
81,Space Cadet (feat. Gunna),Metro Boomin,trap
82,You Need To Calm Down,Taylor Swift,pop
83,Baby,Quality Control,Hip-Hop
84,Don't Call Me Up,Mabel,pop
85,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,pop
86,you should see me in a crown,Billie Eilish,pop
87,Trip,Ella Mai,rnb
88,idontwannabeyouanymore,Billie Eilish,pop
89,YOSEMITE,Travis Scott,Hip-Hop
90,Tap (feat. Meek Mill),NAV,Hip-Hop
91,If I Can't Have You,Shawn Mendes,pop
92,Die Young,Roddy Ricch,Hip-Hop
93,Hot (feat. Gunna),Young Thug,Hip-Hop
94,Armed and Dangerous,Juice WRLD,Hip-Hop
95,Psycho (feat. Ty Dolla $ign),Post Malone,Hip-Hop
96,Beautiful Crazy,Luke Combs,country
97,Clout (feat. Cardi B),Offset,Hip-Hop
98,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,Hip-Hop
99,Never Recover,Lil Baby,Hip-Hop
100,Robbery,Juice WRLD,rnb
