rank,title,artist,genre
1,To the Bone,Pamungkas,indie
2,Here's Your Perfect,Jamie Miller,pop
3,happier,Olivia Rodrigo,pop
4,Dynamite,BTS,pop
5,Butter,BTS,pop
6,drivers license,Olivia Rodrigo,pop
7,Blue Jeans,GANGGA,indie
8,Bertaut,Nadin Amizah,indie
9,Leave The Door Open,Silk Sonic,soul
10,Life Goes On,BTS,pop
11,positions,Ariana Grande,pop
12,At My Worst,Pink Sweat$,r&b
13,double take,Dhruv,r&b
14,HEARTBREAK ANNIVERSARY,GIVĒON,r&b
15,Melukis Senja,Budi Doremi,pop
16,Snowman,Sia,pop
17,It's Only Me (Studio Version),Kaleb J,pop
18,Kiss Me More (feat. SZA),Doja Cat,pop
19,Stuck with U,Ariana Grande,pop
20,deja vu,Olivia Rodrigo,pop
21,34+35,Ariana Grande,pop
22,STAY,The Kid LAROI,pop
23,Lantas,Juicy Luicy,pop
24,Mungkin Hari Ini Esok Atau Nanti,Anneth,pop
25,Permission to Dance,BTS,pop
26,C.H.R.I.S.Y.E.,Diskoria,pop
27,It's You,Sezairi,soul
28,Heather,Conan Gray,pop
29,Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber,pop
30,Lovesick Girls,BLACKPINK,pop
31,good 4 u,Olivia Rodrigo,pop
32,Intentions (feat. Quavo),Justin Bieber,pop
33,Lose,NIKI,r&b
34,Lonely,Justin Bieber,pop
35,Cheating on You,Charlie Puth,pop
36,I Just Couldn't Save You Tonight (feat. Aurelie Moeremans) [Story of Kale - Original Motion Picture Soundtrack],Ardhito Pramono,pop
37,"It Will Rain (From ""Twilight Breaking Dawn"")",Bruno Mars,pop
38,Know Me Too Well,New Hope Club,pop
39,Pesan Terakhir,Lyodra,pop
40,Before You Go,Lewis Capaldi,pop
41,Reckless,Madison Beer,pop
42,How You Like That,BLACKPINK,pop
43,On The Ground,ROSÉ,pop
44,Save Your Tears (Remix),The Weeknd,pop
45,After School,Weeekly,pop
46,Maafkan Aku #terlanjurmencinta,Tiara Andini,pop
47,Melawan Restu,Mahalini,pop
48,One Only,Pamungkas,indie
49,Pretty Savage (Japan Version),BLACKPINK,pop
50,Rumah Ke Rumah,Hindia,indie
51,traitor,Olivia Rodrigo,pop
52,Ice Cream,BLACKPINK,pop
53,Aku Yang Salah,Mahalini,pop
54,Levitating (feat. DaBaby),Dua Lipa,pop
55,Someone You Loved,Lewis Capaldi,pop
56,Belum Siap Kehilangan,Stevan Pasaribu,pop
57,Kenangan Manis,Pamungkas,indie
58,Cuek,Rizky Febian,pop
59,you broke me first,Tate McRae,pop
60,Adu Rayu,Yovie Widianto,pop
61,I Love You but I'm Letting Go,Pamungkas,indie
62,Sudah (Story of Kale - Original Motion Picture Soundtrack),Ardhito Pramono,pop
63,Pura Pura Lupa,Mahen,pop
64,Boy With Luv (feat. Halsey),BTS,pop
65,Black Mamba,aespa,pop
66,Gone,ROSÉ,pop
67,Sofia,Clairo,pop
68,Location Unknown (feat. BEKA) [Brooklyn Session],HONNE,r&b
69,Next Level,aespa,pop
70,Bahasa Kalbu,Raisa,pop
71,Hurts So Good,Astrid S,pop
72,Day & Night,Jung Seung Hwan,hip hop
73,Blinding Lights,The Weeknd,pop
74,Memories,Maroon 5,pop
75,Monolog,Pamungkas,indie
76,미래,Red Velvet,pop
77,Happy,Skinnyfabs,indie
78,Happier Than Ever,Billie Eilish,pop
79,Dandelions,Ruth B.,r&b
80,Beggin',Måneskin,rock
81,Yours (feat. LeeHi & CHANGMO),Raiden,pop
82,Talking to the Moon,Bruno Mars,pop
83,Now I Know,Kaleb J,pop
84,Good Days,SZA,r&b
85,Hold On,Justin Bieber,pop
86,Build a Bitch,Bella Poarch,pop
87,Menghapus Jejakmu,Bunga Citra Lestari,pop
88,Secukupnya,Hindia,indie
89,if u could see me cryin' in my room,Arash Buana,pop
90,"thank u, next",Ariana Grande,pop
91,MONTERO (Call Me By Your Name),Lil Nas X,hip hop
92,I CAN'T STOP ME,TWICE,pop
93,Best Part (feat. H.E.R.),Daniel Caesar,r&b
94,Sedang Sayang Sayangnya,Mawar de Jongh,pop
95,Watermelon Sugar,Harry Styles,pop
96,Akhir Cerita Cinta,Glenn Fredly,pop
97,Versace On The Floor,Bruno Mars,r&b
98,Ku Kira Kau Rumah,Pendarra,indie
99,Mood (feat. iann dior),24kGoldn,hip hop
100,Into Your Arms (feat. Ava Max),Witt Lowry,hip hop
