rank,title,artist,genre
1,Uptown Funk (feat. Bruno Mars),Mark Ronson,soul
2,Trap Queen,Fetty Wap,Hip-Hop
3,Thinking out Loud,Ed Sheeran,pop
4,Sugar,Maroon 5,pop
5,See You Again (feat. Charlie Puth),Wiz Khalifa,pop
6,Shut Up and Dance,WALK THE MOON,pop
7,Watch Me (Whip / Nae Nae),Silentó,pop
8,Earned It (Fifty Shades Of Grey),The Weeknd,rnb
9,Can't Feel My Face,The Weeknd,pop
10,The Hills,The Weeknd,rnb
11,Blank Space,Taylor Swift,pop
12,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,Hip-Hop
13,Love Me Like You Do - From Fifty Shades Of Grey,Ellie Goulding,pop
14,Take Me to Church,Hozier,pop
15,Lean On - J Balvin & Farruko Remix,Major Lazer,edm
16,Want to Want Me,Jason Derulo,pop
17,Good For You,Selena Gomez,pop
18,Shake It Off,Taylor Swift,pop
19,679 (feat. Remy Boyz),Fetty Wap,Hip-Hop
20,Lips Are Movin,Meghan Trainor,pop
21,I'm Not The Only One,Sam Smith,pop
22,Where Are Ü Now (with Justin Bieber),Jack Ü,edm
23,Bad Blood,Taylor Swift,pop
24,Fight Song,Rachel Platten,pop
25,All About That Bass,Meghan Trainor,pop
26,Honey. I'm Good.,Andy Grammer,pop
27,Style,Taylor Swift,pop
28,Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,Hip-Hop
29,Hey Mama (feat. Nicki Minaj. Bebe Rexha & Afrojack),David Guetta,edm
30,Worth It (feat. Kid Ink),Fifth Harmony,rnb
31,What Do You Mean?,Justin Bieber,pop
32,Jealous - Remix,Nick Jonas,pop
33,Photograph,Ed Sheeran,pop
34,GDFR (feat. Sage the Gemini & Lookas) - DJ Kay Rich x Up 2 No Good Remix,Flo Rida,Hip-Hop
35,Time of Our Lives - Tribute to Pitbull and Ne-Yo,Pop Beatz,pop
36,Locked Away (feat. Adam Levine),R. City,Hip-Hop
37,Centuries,Fall Out Boy,rock
38,FourFiveSeconds - Remix Party Hits Radio Pop - Inspired by Rihanna Kanye West & Paul McCartney,Eli White,pop
39,Somebody,Natalie La Rose,rnb
40,I Don't Fuck With You,Big Sean,pop
41,Hotline Bling,Drake,pop
42,My Way (feat. Monty),Fetty Wap,Hip-Hop
43,Stitches,Shawn Mendes,pop
44,Talking Body,Tove Lo,pop
45,Love Me Harder (In the Style of Ariana Grande & The Weeknd) [Karaoke Instrumental Version],Karaoke All Hit Wonders,pop
46,Animals,Maroon 5,pop
47,Bitch Better Have My Money,Rihanna,hip hop
48,Only (In the Style of Nicki Minaj Drake Lil Wayne & Chris Brown) [Instrumental Version],BeatRunnaz,Hip-Hop
49,Wildest Dreams,Taylor Swift,pop
50,I Don't Mind (feat. Juicy J),USHER,rnb
51,Drag Me Down,One Direction,pop
52,The Heart Wants What It Wants,Selena Gomez,pop
53,Cool for the Summer,Demi Lovato,pop
54,7/11,Beyoncé,Hip-Hop
55,Stay With Me,Sam Smith,pop
56,Truffle Butter (Karaoke Instrumental Version) - Originally Performed By Nicki Minaj feat. Drake & Lil Wayne,Ratchet Instrumentals,Hip-Hop
57,Nasty Freestyle,T-Wayne,Hip-Hop
58,One Last Time,Ariana Grande,pop
59,Chains,Nick Jonas,pop
60,The Hanging Tree - From The Hunger Games: Mockingjay Soundtraclk,James Newton Howard,folk
61,You Know You Like It - Tribute to DJ Snake and AlunaGeorge,Billboard Masters,edm
62,Downtown (feat. Melle Mel Grandmaster Caz Kool Moe Dee & Eric Nally),Macklemore & Ryan Lewis,Hip-Hop
63,No Type,Rae Sremmurd,Hip-Hop
64,Hit the Quan - Original Version,iLoveMemphis,Hip-Hop
65,Tuesday (feat. Drake),ILOVEMAKONNEN,Hip-Hop
66,Take Your Time,Sam Hunt,country
67,Habits (Stay High),Tove Lo,pop
68,Bang Bang - Imanos & Gramercy Remix,Jessie J,pop
69,Girl Crush,Little Big Town,country
70,Flex (Ooh. Ooh. Ooh),Rich Homie Quan,Hip-Hop
71,Dear Future Husband,Meghan Trainor,pop
72,Waves - Robin Schulz Radio Edit,Mr. Probz,edm
73,Ex's & Oh's,Elle King,rock
74,Lay Me Down,Sam Smith,pop
75,Don't,Ed Sheeran,pop
76,Renegades,X Ambassadors,rock
77,On My Mind,Ellie Goulding,pop
78,CoCo,O.T. Genasis,Hip-Hop
79,Hello,Adele,pop
80,Jumpman (In the Style of Drake & Future) [Karaoke Version],Instrumental King,Hip-Hop
81,Ayo - Tribute to Tyga and Chris Brown,2015 Fuelled Pop,pop
82,Sorry - Latino Remix,Justin Bieber,pop
83,Marvin Gaye (feat. Meghan Trainor),Charlie Puth,pop
84,Classic Man (feat. Roman GianArthur),Jidenna,rnb
85,Elastic Heart,Sia,pop
86,Uma Thurman,Fall Out Boy,rock
87,Hot Boy,Bobby Shmurda,Hip-Hop
88,I Want You To Know,Zedd,edm
89,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,pop
90,All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,Hip-Hop
91,Slow Motion,Trey Songz,rnb
92,She Knows,Ne-Yo,rnb
93,Ghost,Ella Henderson,soul
94,Here,Alessia Cara,soul
95,Riptide,Vance Joy,pop
96,Same Old Love,Selena Gomez,pop
97,Blame (feat. John Newman),Calvin Harris,edm
98,Blessings,Big Sean,Hip-Hop
99,Focus,Ariana Grande,pop
100,Chandelier,Sia,pop
