rank,title,artist,genre
1,Tak Segampang Itu,Anggi Marito,pop
2,Sial,Mahalini,pop
3,Kill Bill,SZA,rnb
4,Komang,Raim Laode,pop
5,Tertawan Hati,Awdella,pop
6,Die For You (Remix),The Weeknd,rnb
7,Ditto,NewJeans,pop
8,Cruel Summer,Taylor Swift,edm
9,Anti-Hero,Taylor Swift,pop
10,Semata Karenamu,Mario G klau,pop
11,Hati-Hati di Jalan,Tulus,pop
12,Bohongi Hati,Mahalini,pop
13,OMG,NewJeans,pop
14,Usai,Tiara Andini,pop
15,golden hour,JVKE,pop
16,Sisa Rasa,Mahalini,pop
17,Here With Me,d4vd,indie
18,High School in Jakarta,NIKI,rnb
19,Somebody's Pleasure,Aziz Hedra,pop
20,Seven,Jung Kook,pop
21,Tally,BLACKPINK,rock
22,As It Was,Harry Styles,pop
23,Trauma,Aan Story,pop
24,Snooze,SZA,rnb
25,Sang Dewi,Lyodra,pop
26,Shut Down,BLACKPINK,hip hop
27,Angels Like You,Miley Cyrus,rock
28,Pink Venom,BLACKPINK,hip hop
29,Kau Rumahku,Raissa Anggiani,pop
30,Cupid (Twin Version),FIFTY FIFTY,pop
31,Rayuan Perempuan Gila,Nadin Amizah,indie
32,About You,The 1975,indie
33,Jiwa Yang Bersedih,Ghea Indrawari,pop
34,Kisah Sempurna,Mahalini,pop
35,Flowers,Miley Cyrus,pop
36,Merasa Indah,Tiara Andini,pop
37,Unholy,Sam Smith,edm
38,Nobody Gets Me,SZA,rnb
39,Interaksi,Tulus,pop
40,Pilihan Yang Terbaik,Ziva Magnolya,pop
41,Rumah Singgah,Fabio Asher,pop
42,Hype Boy,NewJeans,pop
43,Hilang Tanpa Bilang,Meiska,pop
44,Enchanted,Taylor Swift,country
45,Style,Taylor Swift,pop
46,Made You Look,Meghan Trainor,pop
47,Janji Setia,Tiara Andini,pop
48,Ghost,Justin Bieber,pop
49,Anything You Want,Reality Club,indie
50,Glimpse of Us,Joji,pop
51,Pesan Terakhir,Lyodra,pop
52,Asmalibrasi,Soegi Bornean,indie
53,Tak Ingin Usai,Keisya Levronka,pop
54,Tampar,Juicy Luicy,pop
55,Badai Telah Berlalu,Diskoria,pop
56,Those Eyes,New West,folk
57,Always,Daniel Caesar,soul
58,People,Libianca,soul
59,august,Taylor Swift,indie
60,Runtuh,Feby Putri,pop
61,Creepin',Metro Boomin,hip hop
62,Lantas,Juicy Luicy,pop
63,Calm Down,Rema,soul
64,Lover,Taylor Swift,pop
65,Super Shy,NewJeans,pop
66,FLOWER,JISOO,pop
67,Yellow,Coldplay,rock
68,Die For You,Joji,indie
69,Cincin,Hindia,indie
70,Cinta Dan Rahasia (feat. Glenn Fredly),Yura Yunita,pop
71,Under the Influence,Chris Brown,rnb
72,LIMBO,keshi,indie
73,Menyesal,Yovie Widianto,pop
74,Angel Baby,Troye Sivan,pop
75,Backburner,NIKI,rnb
76,Bawa Dia Kembali,Mahalini,pop
77,Serana,For Revenge,rock
78,Starboy (feat. Daft Punk),The Weeknd,rnb
79,Dunia Tipu-Tipu,Yura Yunita,pop
80,Tutur Batin,Yura Yunita,pop
81,Stuck with U,Ariana Grande,pop
82,Ayat Kursi,Muzammil Hasballah,soul
83,Blank Space,Taylor Swift,pop
84,Peri Cintaku,Ziva Magnolya,pop
85,Bertaut,Nadin Amizah,indie
86,Fix You,Coldplay,rock
87,I Ain't Worried,OneRepublic,pop
88,Melawan Restu,Mahalini,pop
89,Fall In Love Alone,Stacey Ryan,pop
90,Oceans & Engines,NIKI,rnb
91,Left and Right,Charlie Puth,pop
92,Satu-Satu,Idgitaf,pop
93,Typa Girl,BLACKPINK,hip hop
94,Cintanya Aku,Tiara Andini,pop
95,"Mesin Waktu (From ""Aku Dan Mesin Waktu"")",Budi Doremi,pop
96,Sure Thing,Miguel,rnb
97,Menjadi Dia,Tiara Andini,pop
98,Muak,Aruma,pop
99,Not You,Alan Walker,edm
100,Siapkah Kau 'Tuk Jatuh Cinta Lagi,HIVI!,pop
